cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	nt_lekon	nt_simalur	Concepticon_Gloss	Concepticon_ID	concept_url
the Mentawai (Pagai & Sipora) list (no date)	219	mabesi oetoe	NA	hoofdpijn	headache	sakit kepala, pusing	187	191	-	FALSE												HEADACHE	3625	https://concepticon.clld.org/parameters/3625
the Mentawai (Pagai & Sipora) list (no date)	222	masingoe	NA	verkoudheid	a cold	selesma	189	193	-	FALSE												COMMON COLD (DISEASE)	102	https://concepticon.clld.org/parameters/102
the Mentawai (Pagai & Sipora) list (no date)	223	maseret	NA	slapen van de ledematen, slaap (mierenkriewel)	gone to sleep (limbs)	kesemutan	191	195	181	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	225	sakit	NA	verlamd	paralysed	lumpuh	192	196	182	FALSE												DISABLED PERSON	3621	https://concepticon.clld.org/parameters/3621
the Mentawai (Pagai & Sipora) list (no date)	228	takep	NA	doof	deaf	tuli	194	198	185	FALSE												DEAF PERSON	458	https://concepticon.clld.org/parameters/458
the Mentawai (Pagai & Sipora) list (no date)	229	mapeset	NA	blind	blind	buta	195	199	186	FALSE												BLIND	1653	https://concepticon.clld.org/parameters/1653
the Mentawai (Pagai & Sipora) list (no date)	231	likei	NA	scheel	squinting	juling	196	200	188	FALSE												SQUINT-EYED	87	https://concepticon.clld.org/parameters/87
the Mentawai (Pagai & Sipora) list (no date)	231	liki	NA	scheel	squinting	juling	196	200	188	FALSE												SQUINT-EYED	87	https://concepticon.clld.org/parameters/87
the Mentawai (Pagai & Sipora) list (no date)	232	male	NA	genezen	cured	sembuh	197	201	189	FALSE												CURE	499	https://concepticon.clld.org/parameters/499
the Mentawai (Pagai & Sipora) list (no date)	234	lage	NA	geneesmiddel (met toverkracht)	medicine (with magic power)	obat (dari dukun)	199	202	-	FALSE												MAGIC	392	https://concepticon.clld.org/parameters/392
the Mentawai (Pagai & Sipora) list (no date)	235	siagai gaut	3	dokter (dukun)	doctor (medicine man)	dokter (dukun)	200	203	-	FALSE							who knows medicine					SHAMAN (FOLK HEALER)	394	https://concepticon.clld.org/parameters/394
the Mentawai (Pagai & Sipora) list (no date)	236	sirimanoea	NA	mens (in de zin van mensdom)	man, mankind	manusia	1	1	-	FALSE												PERSON	683	https://concepticon.clld.org/parameters/683
the Mentawai (Pagai & Sipora) list (no date)	237	sirimanoea	NA	mens (in de zin van de mensen werden gedood)	people	orang	2	2	-	FALSE												PEOPLE	789	https://concepticon.clld.org/parameters/789
the Mentawai (Pagai & Sipora) list (no date)	238	Tai tako	4	mens (in de zin van de mensen v. het gebergte zijn onze vijanden)	people	orang	3	3	-	FALSE			Tai tako	the people from kako								PEOPLE	789	https://concepticon.clld.org/parameters/789
the Mentawai (Pagai & Sipora) list (no date)	239	oni	NA	naam	name	nama	113	114	192	TRUE												NAME	1405	https://concepticon.clld.org/parameters/1405
the Mentawai (Pagai & Sipora) list (no date)	241	simantêoe	NA	man	man	orang laki-laki	75	77	193	TRUE												MALE PERSON	2106	https://concepticon.clld.org/parameters/2106
the Mentawai (Pagai & Sipora) list (no date)	242	sinanalep	NA	vrouw	woman	orang perempuan	76	78	194	TRUE												WOMAN	962	https://concepticon.clld.org/parameters/962
the Mentawai (Pagai & Sipora) list (no date)	243	simanteoe	NA	mannelijk (v.d. mens)	male (human)	laki-laki	110	111	195	FALSE												MALE (OF PERSON)	2261	https://concepticon.clld.org/parameters/2261
the Mentawai (Pagai & Sipora) list (no date)	244	boetoeat	NA	mannelijk (v.d.dieren)	male (animal)	jantan	110	111	195	FALSE												MALE (OF ANIMAL)	2263	https://concepticon.clld.org/parameters/2263
the Mentawai (Pagai & Sipora) list (no date)	245/246	sinanalep	NA	vrouwelijk <unsp.>	female	perempuan	112	113	196	FALSE												FEMALE	1551	https://concepticon.clld.org/parameters/1551
the Mentawai (Pagai & Sipora) list (no date)	248/249	tai okko	NA	maagd, maagdom <unsp.>			77	79	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	248/249	si okko	NA	maagd, maagdom <unsp.>			77	79	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	250	tai lainge	NA	jongen	boy, lad	anak laki-laki	78	80	-	FALSE												BOY OR SON	2391	https://concepticon.clld.org/parameters/2391
the Mentawai (Pagai & Sipora) list (no date)	250	si lainge	NA	jongen	boy, lad	anak laki-laki	78	80	-	FALSE												BOY OR SON	2391	https://concepticon.clld.org/parameters/2391
the Mentawai (Pagai & Sipora) list (no date)	252	toga sinalalep	NA	meisje	girl	gadis	79	81	-	FALSE												GIRL	1646	https://concepticon.clld.org/parameters/1646
the Mentawai (Pagai & Sipora) list (no date)	255	oekui	5	vader	father	ayah	80	82	201	TRUE												FATHER	1217	https://concepticon.clld.org/parameters/1217
the Mentawai (Pagai & Sipora) list (no date)	255	ama	5	vader	father	ayah	80	82	201	TRUE			ama				Sabiroet					FATHER	1217	https://concepticon.clld.org/parameters/1217
the Mentawai (Pagai & Sipora) list (no date)	256	ina	NA	moeder	mother	ibu	81	83	202	TRUE												MOTHER	1216	https://concepticon.clld.org/parameters/1216
the Mentawai (Pagai & Sipora) list (no date)	257/258	toga	6	kind <unsp.>	child	anak	82	84	203	TRUE			sikeboekat	the first-born								CHILD	2099	https://concepticon.clld.org/parameters/2099
the Mentawai (Pagai & Sipora) list (no date)	261	togat simanteoe	NA	zoon	son	anak laki-laki	83	85	-	FALSE												SON	1620	https://concepticon.clld.org/parameters/1620
the Mentawai (Pagai & Sipora) list (no date)	262	togat sinanalep	NA	dochter	daughter	anak perempuan	84	86	-	FALSE												DAUGHTER	1357	https://concepticon.clld.org/parameters/1357
the Mentawai (Pagai & Sipora) list (no date)	263	siboeboea	NA	grootvader	grandfather	nenek laki-laki (kakek)	85	87	207	FALSE												GRANDFATHER	1383	https://concepticon.clld.org/parameters/1383
the Mentawai (Pagai & Sipora) list (no date)	263	teteu	NA	grootvader	grandfather	nenek laki-laki (kakek)	85	87	207	FALSE												GRANDFATHER	1383	https://concepticon.clld.org/parameters/1383
the Mentawai (Pagai & Sipora) list (no date)	264	siboeboea	NA	grootmoeder	grandmother	nenek perempuan (nenek)	89	90	208	FALSE												GRANDMOTHER	1496	https://concepticon.clld.org/parameters/1496
the Mentawai (Pagai & Sipora) list (no date)	266	siboeboea	NA	overgrootouders	great-grandparents	moyang	86	88	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	267	tai keboekat siboeroe	NA	voorouders	ancestors	leluhur, nenek moyang	88	89	-	FALSE												ANCESTORS	1669	https://concepticon.clld.org/parameters/1669
the Mentawai (Pagai & Sipora) list (no date)	268	alei	7	broeder	brother	saudara laki-laki	90	91	-	TRUE			alei	calls his brother/sister								BROTHER	1262	https://concepticon.clld.org/parameters/1262
the Mentawai (Pagai & Sipora) list (no date)	268	alei	7	broeder	brother	saudara laki-laki	90	91	-	TRUE			balin	brother and sister calls each other								BROTHER	1262	https://concepticon.clld.org/parameters/1262
the Mentawai (Pagai & Sipora) list (no date)	269	alei	7	zuster	sister	saudara perempuan	91	92	-	TRUE			alei	calls his brother/sister								SISTER	1263	https://concepticon.clld.org/parameters/1263
the Mentawai (Pagai & Sipora) list (no date)	269	alei	7	zuster	sister	saudara perempuan	91	92	-	TRUE			balin	brother and sister calls each other								SISTER	1263	https://concepticon.clld.org/parameters/1263
the Mentawai (Pagai & Sipora) list (no date)	270/271	kebboe	NA	oudere broeder, zuster <unsp.>			92	93	209	TRUE	older brother/sister											NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	272/273	bagi	NA	jongere broeder, zuster <unsp.>			93	94	210	TRUE	younger brother/sister											NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	274	poenoe teteu	NA	kleinkind	grandchild	cucu	94	95	211	FALSE												GRANDCHILD	1617	https://concepticon.clld.org/parameters/1617
the Mentawai (Pagai & Sipora) list (no date)	275	oekoei	NA	oom <FB>	uncle FB	paman FB	95	96	212	FALSE												PATERNAL UNCLE (FATHER'S BROTHER)	1985	https://concepticon.clld.org/parameters/1985
the Mentawai (Pagai & Sipora) list (no date)	275	badja	NA	oom <FB>	uncle FB	paman FB	95	96	212	FALSE												PATERNAL UNCLE (FATHER'S BROTHER)	1985	https://concepticon.clld.org/parameters/1985
the Mentawai (Pagai & Sipora) list (no date)	276	kamaman	NA	oom <MB>	uncle MB	paman MB	95	96	212	FALSE												MATERNAL UNCLE (MOTHER'S BROTHER)	2692	https://concepticon.clld.org/parameters/2692
the Mentawai (Pagai & Sipora) list (no date)	281	kameinan	NA	tante <FZ>	aunt FZ	bibi FZ	97	98	213	FALSE												PATERNAL AUNT (FATHER'S SISTER)	2691	https://concepticon.clld.org/parameters/2691
the Mentawai (Pagai & Sipora) list (no date)	282	kalâbai	NA	tante <MZ>	aunt MZ	bibi MZ	97	98	213	FALSE												MATERNAL AUNT (MOTHER'S SISTER)	2693	https://concepticon.clld.org/parameters/2693
the Mentawai (Pagai & Sipora) list (no date)	287/289	boea	NA	neef <unsp.>			98	99	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	287/289	momoi	NA	neef <unsp.>			98	99	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	288/290	momoi	NA	neef <unsp.>			98	99	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	288/290	boea	NA	neef <unsp.>			98	99	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	291/293	boea	NA	nicht <unsp.>			99	100	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	291/293	momoi	NA	nicht <unsp.>			99	100	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	291-294/296	momoi	NA	nicht <unsp.>			99	100	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	291-294/296	boea	NA	nicht <unsp.>			99	100	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	297/298	talikoe	NA	schoonouders wederzijdse ouders der gehuwden <unsp.>			-	100a	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	299	talikoe simanteoe	NA	schoonzoon	son-in-law	menantu laki-laki	100	101	-	FALSE												SON-IN-LAW	1056	https://concepticon.clld.org/parameters/1056
the Mentawai (Pagai & Sipora) list (no date)	300	talikoe sinanalep	NA	schoondochter	daughter-in-law	menantu perempuan	101	102	-	FALSE												DAUGHTER-IN-LAW	1057	https://concepticon.clld.org/parameters/1057
the Mentawai (Pagai & Sipora) list (no date)	302/303	sioeran	NA	stiefzoon, stiefdochter <unsp.>			102	103	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	304	oekui eninasioerau	NA	stiefouders	stepparents	ayah dan ibu tiri	103	104	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	305	sioeran	NA	aangenomen kind	adopted child	anak pungut ; anak angkat	104	105	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	306-309	eira	NA	zwager <unsp.>			105	106	219	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	310/314	lakoet	NA	schoonbroer, schoonzuster <unsp.>			106	107	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	310/314	sauloe	NA	schoonbroer, schoonzuster <unsp.>			106	107	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	315	samandi	NA	verwant	related	keluarga	107	108	221	FALSE												FAMILY	194	https://concepticon.clld.org/parameters/194
the Mentawai (Pagai & Sipora) list (no date)	316	ta' samandi	NA	niet verwant	unrelated	bukan keluarga	108	109	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	317	sinanalep	NA	man (echtgenoot)	husband	suami	109	110	222	TRUE												HUSBAND	1200	https://concepticon.clld.org/parameters/1200
the Mentawai (Pagai & Sipora) list (no date)	318	sinanalep	NA	vrouw (echtgenote)	wife	istri	111	112	223	TRUE												WIFE	1199	https://concepticon.clld.org/parameters/1199
the Mentawai (Pagai & Sipora) list (no date)	320	alei	NA	metgezel, vriend	comrade, friend	sekutu, teman	-	577	-	FALSE												FRIEND	1325	https://concepticon.clld.org/parameters/1325
the Mentawai (Pagai & Sipora) list (no date)	324	tairasema	NA	gast, vreemdeling	guest, stranger	tamu, orang asing	-	689	-	FALSE												GUEST OR STRANGER	2908	https://concepticon.clld.org/parameters/2908
the Mentawai (Pagai & Sipora) list (no date)	327	laggai	NA	stad (of hoofdplaats)	town (capital)	kota (ibu kota)	587	599	-	FALSE												TOWN	1391	https://concepticon.clld.org/parameters/1391
the Mentawai (Pagai & Sipora) list (no date)	329	laggai	NA	bijdorp (gehucht)	hamlet	dukuh	589	600	228	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	331	sikarei	NA	tovenaar (of bezweerder)	sorcerer	tukang sihir	201	204	-	FALSE												SORCERER	823	https://concepticon.clld.org/parameters/823
the Mentawai (Pagai & Sipora) list (no date)	332	ngâlou	NA	talisman	talisman	jimat	202	205	-	FALSE												MAGIC	392	https://concepticon.clld.org/parameters/392
the Mentawai (Pagai & Sipora) list (no date)	338	katoea gadjat	NA	voorteken	omen	pertanda	208	211	-	FALSE												OMEN	107	https://concepticon.clld.org/parameters/107
the Mentawai (Pagai & Sipora) list (no date)	339	sanitoe	NA	spook	ghost	setan	209	212	-	FALSE												GHOST	1175	https://concepticon.clld.org/parameters/1175
the Mentawai (Pagai & Sipora) list (no date)	339	saboeloengan	NA	spook	ghost	setan	209	212	-	FALSE												GHOST	1175	https://concepticon.clld.org/parameters/1175
the Mentawai (Pagai & Sipora) list (no date)	341	sanitoe	8	kwade geest	evil spirit	ruh jahat	207/213	210	-	FALSE							spook, originally the soul of a person who died					DEMON	1973	https://concepticon.clld.org/parameters/1973
the Mentawai (Pagai & Sipora) list (no date)	343/344	ketaat	9	ziel, geest (v.e. levende, v.e. dode) <unsp.>			214	217	231	FALSE			ketsat									NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	343/344	nitoe	9	ziel, geest (v.e. levende, v.e. dode) <unsp.>			214	217	231	FALSE			nitoe									NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	343/344	simagre	9	ziel, geest (v.e. levende, v.e. dode) <unsp.>			214	217	231	FALSE			simagre									NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	345	taikamanoea	10	opperwezen	the supreme being	yang maha kuasa	215	218	-	FALSE			taikamanoea	the spirits of the clouds			one does not know one Supreme Being because all the names of the good spirtits are preceded by the plural marker “tai”					DEITY	3231	https://concepticon.clld.org/parameters/3231
the Mentawai (Pagai & Sipora) list (no date)	345	taikaleleu	10	opperwezen	the supreme being	yang maha kuasa	215	218	-	FALSE			taikaleleu	the spirits of the forest			one does not know one Supreme Being because all the names of the good spirtits are preceded by the plural marker “tai”					DEITY	3231	https://concepticon.clld.org/parameters/3231
the Mentawai (Pagai & Sipora) list (no date)	345	kameinan	10	opperwezen	the supreme being	yang maha kuasa	215	218	-	FALSE			kameinan	water spirits			one does not know one Supreme Being because all the names of the good spirtits are preceded by the plural marker “tai”					DEITY	3231	https://concepticon.clld.org/parameters/3231
the Mentawai (Pagai & Sipora) list (no date)	347	masiboeloe	NA	aanbidden	to worship	menyembah	217	219	-	FALSE												WORSHIP	257	https://concepticon.clld.org/parameters/257
the Mentawai (Pagai & Sipora) list (no date)	356	poengoengoean	NA	verhaal	story	cerita	224	225	236	FALSE												STORY	2060	https://concepticon.clld.org/parameters/2060
the Mentawai (Pagai & Sipora) list (no date)	358	leleoi	NA	gedicht (of rijmwerk)	poem	sanjak, syair	226	227	-	FALSE												POETRY	541	https://concepticon.clld.org/parameters/541
the Mentawai (Pagai & Sipora) list (no date)	367	simakate baga	NA	deugd (goed zijn)	virtue	kebajikan	235	233	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	368	simadjô	NA	zonde (kwaad doen)	sin	dosa	236	234	237	FALSE												SIN	2971	https://concepticon.clld.org/parameters/2971
the Mentawai (Pagai & Sipora) list (no date)	369	takeikei	NA	verboden (onrein)	forbidden	pantangan, pemali	237	235	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	377	sema	NA	raadhuis	town hall	balai kota	591	601	-	FALSE												MEETING HOUSE	335	https://concepticon.clld.org/parameters/335
the Mentawai (Pagai & Sipora) list (no date)	377	poenen	NA	raadhuis	town hall	balai kota	591	601	-	FALSE												MEETING HOUSE	335	https://concepticon.clld.org/parameters/335
the Mentawai (Pagai & Sipora) list (no date)	377	moelia	NA	raadhuis	town hall	balai kota	591	601	-	FALSE												MEETING HOUSE	335	https://concepticon.clld.org/parameters/335
the Mentawai (Pagai & Sipora) list (no date)	378	sikerei	NA	koning	king	raja	593	603	-	FALSE												KING	1508	https://concepticon.clld.org/parameters/1508
the Mentawai (Pagai & Sipora) list (no date)	379	sikerei	NA	patih	a sort of first minister	patih	594	604	-	FALSE												MINISTER	486	https://concepticon.clld.org/parameters/486
the Mentawai (Pagai & Sipora) list (no date)	382	laggaira sanitoe	NA	plaats (die gevreesd wordt)	(sacred) place (held in awe)	tempat (menyeramkan)	243	241	-	FALSE												PLACE (POSITION)	723	https://concepticon.clld.org/parameters/723
the Mentawai (Pagai & Sipora) list (no date)	386	rimata	NA	dorpshoofd	village head	kepala kampung	597	608	245	FALSE												CHIEFTAIN	301	https://concepticon.clld.org/parameters/301
the Mentawai (Pagai & Sipora) list (no date)	391	oektoeh	NA	geluk	happiness	kebahagiaan	210	213	-	FALSE												HAPPINESS	2941	https://concepticon.clld.org/parameters/2941
the Mentawai (Pagai & Sipora) list (no date)	392	masoeboe	NA	ongeluk	unhappiness	kesedihan, kemalangan	211	214	-	FALSE												SADNESS	3854	https://concepticon.clld.org/parameters/3854
the Mentawai (Pagai & Sipora) list (no date)	396	arat	NA	gewoonterecht	common law	hukum adat	604	623	-	FALSE												LAW	1062	https://concepticon.clld.org/parameters/1062
the Mentawai (Pagai & Sipora) list (no date)	399	ioekoem	NA	straffen	to punish	menghukum	608	625	252	FALSE												PUNISH	3649	https://concepticon.clld.org/parameters/3649
the Mentawai (Pagai & Sipora) list (no date)	400	oetak	NA	boete	fine	denda	609	626	253	FALSE												FINE (PENALTY)	218	https://concepticon.clld.org/parameters/218
the Mentawai (Pagai & Sipora) list (no date)	401	katoemoenengan	NA	getuige	witness	saksi	610	627	-	FALSE												WITNESS	1144	https://concepticon.clld.org/parameters/1144
the Mentawai (Pagai & Sipora) list (no date)	407/408	poesikebboe koenan	11	huwen <unsp.> huwelijk	marry, marriage	menikah, perkawinan	246	244	258	FALSE			poesikebboe koenan									MARRIAGE OR WEDDING	3182	https://concepticon.clld.org/parameters/3182
the Mentawai (Pagai & Sipora) list (no date)	407/408	poetalimongat	11	huwen <unsp.> huwelijk	marry, marriage	menikah, perkawinan	246	244	258	FALSE			poetalimongat									MARRIAGE OR WEDDING	3182	https://concepticon.clld.org/parameters/3182
the Mentawai (Pagai & Sipora) list (no date)	407/408	poetadekat	11	huwen <unsp.> huwelijk	marry, marriage	menikah, perkawinan	246	244	258	FALSE			poetadekat									MARRIAGE OR WEDDING	3182	https://concepticon.clld.org/parameters/3182
the Mentawai (Pagai & Sipora) list (no date)	410	pagalak	NA	scheiden	to divorce	bercerai	247	245	260	FALSE												DIVORCE (SEPARATE)	3672	https://concepticon.clld.org/parameters/3672
the Mentawai (Pagai & Sipora) list (no date)	413	moetoga	NA	baren (bevallen)	to give birth to	melahirkan	250	248	262	FALSE												GIVE BIRTH	1195	https://concepticon.clld.org/parameters/1195
the Mentawai (Pagai & Sipora) list (no date)	415	moesilainge	12	overspel bedrijven	to commit adultery	berzinah	252	250	263	FALSE			silainge	a youth								ADULTERY	902	https://concepticon.clld.org/parameters/902
the Mentawai (Pagai & Sipora) list (no date)	415	paelet	12	overspel bedrijven	to commit adultery	berzinah	252	250	263	FALSE			silainge	a youth								ADULTERY	902	https://concepticon.clld.org/parameters/902
the Mentawai (Pagai & Sipora) list (no date)	415	moesilainge	12	overspel bedrijven	to commit adultery	berzinah	252	250	263	FALSE			moesilainge	to behave as a youth								ADULTERY	902	https://concepticon.clld.org/parameters/902
the Mentawai (Pagai & Sipora) list (no date)	415	paelet	12	overspel bedrijven	to commit adultery	berzinah	252	250	263	FALSE			moesilainge	to behave as a youth								ADULTERY	902	https://concepticon.clld.org/parameters/902
the Mentawai (Pagai & Sipora) list (no date)	416	ibat laggai	13	lichtekooi	prostitute	pelacur	255	253	-	FALSE			iba	bait								PROSTITUTE	1610	https://concepticon.clld.org/parameters/1610
the Mentawai (Pagai & Sipora) list (no date)	416	ibat laggai	13	lichtekooi	prostitute	pelacur	255	253	-	FALSE			laggai	villagge								PROSTITUTE	1610	https://concepticon.clld.org/parameters/1610
the Mentawai (Pagai & Sipora) list (no date)	420	pipîau	NA	fluit	flute	suling	257	255	265	FALSE												FLUTE	777	https://concepticon.clld.org/parameters/777
the Mentawai (Pagai & Sipora) list (no date)	421	katêuba	NA	trom	drum	genderang	258	256	266	FALSE												DRUM	908	https://concepticon.clld.org/parameters/908
the Mentawai (Pagai & Sipora) list (no date)	424	ngong	NA	gong	gong	gong	261	259	-	FALSE												GONG	2502	https://concepticon.clld.org/parameters/2502
the Mentawai (Pagai & Sipora) list (no date)	426	djadjaok	NA	mondtrom	Jew's harp	ginggung (genggong)	262	260	268	FALSE												JEW'S HARP	3319	https://concepticon.clld.org/parameters/3319
the Mentawai (Pagai & Sipora) list (no date)	428	moetoeroe	NA	dansen	to dance	menari	264	262	269	TRUE	dance											DANCE	1879	https://concepticon.clld.org/parameters/1879
the Mentawai (Pagai & Sipora) list (no date)	430	patoera	NA	raadsel	riddle	teka-teki	-	226	271	FALSE												RIDDLE	2970	https://concepticon.clld.org/parameters/2970
the Mentawai (Pagai & Sipora) list (no date)	432	pagoeile	NA	spelen	to play	bermain	-	263	273	TRUE	play											PLAY	1413	https://concepticon.clld.org/parameters/1413
the Mentawai (Pagai & Sipora) list (no date)	437	oema	14	huis	house	rumah	265	265	278	FALSE			oema									HOUSE	1252	https://concepticon.clld.org/parameters/1252
the Mentawai (Pagai & Sipora) list (no date)	437	lalep	14	huis	house	rumah	265	265	278	FALSE			lalep									HOUSE	1252	https://concepticon.clld.org/parameters/1252
the Mentawai (Pagai & Sipora) list (no date)	437	roesoek	14	huis	house	rumah	265	265	278	FALSE			roesoek									HOUSE	1252	https://concepticon.clld.org/parameters/1252
the Mentawai (Pagai & Sipora) list (no date)	438	sâpou	NA	hut (op het veld enz.)	hut, shelter	pondok	266	266	279	FALSE												HUT	1678	https://concepticon.clld.org/parameters/1678
the Mentawai (Pagai & Sipora) list (no date)	440	para boeboengan	NA	nok van het dak	ridge of roof	bubungan	-	267	280	FALSE												RIDGEPOLE	280	https://concepticon.clld.org/parameters/280
the Mentawai (Pagai & Sipora) list (no date)	441	tobat	NA	dakbedekking atap:	roofing: thatch	atap	268	268	281	FALSE												THATCH	279	https://concepticon.clld.org/parameters/279
the Mentawai (Pagai & Sipora) list (no date)	446	kâsou	NA	dakspar	rafter	kasau	-	270	282	FALSE												RAFTER	829	https://concepticon.clld.org/parameters/829
the Mentawai (Pagai & Sipora) list (no date)	449	matat bâlin	NA	deur	door	daun pintu	270	271	-	FALSE												DOOR	1567	https://concepticon.clld.org/parameters/1567
the Mentawai (Pagai & Sipora) list (no date)	451	torak	NA	venster	window	jendela	271	272	-	FALSE												WINDOW	1375	https://concepticon.clld.org/parameters/1375
the Mentawai (Pagai & Sipora) list (no date)	452	sikeîli	NA	hoek	corner	sudut	-	273	286	FALSE												CORNER	192	https://concepticon.clld.org/parameters/192
the Mentawai (Pagai & Sipora) list (no date)	453	orat	NA	trap	staircase, steps	tangga, anak tangga	272	274	287	FALSE		add. anak tangga										STAIRS	34	https://concepticon.clld.org/parameters/34
the Mentawai (Pagai & Sipora) list (no date)	456/457	bagat lalep	15	vloer <unsp.>	floor	lantai	274	276	289	FALSE			laibokat	floor of the house								FLOOR	1632	https://concepticon.clld.org/parameters/1632
the Mentawai (Pagai & Sipora) list (no date)	458/459	kêkere	NA	omwanding <unsp.>			275	277	290	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	461	arigri	NA	hoofdstijlen	main posts	tiang rumah	276	278	292	FALSE												COLUMN	2045	https://concepticon.clld.org/parameters/2045
the Mentawai (Pagai & Sipora) list (no date)	462	baibai	NA	zolderbalken	ceiling beams	langit-langit rumah, tutup jenang	277	279	293	FALSE												COLUMN	2045	https://concepticon.clld.org/parameters/2045
the Mentawai (Pagai & Sipora) list (no date)	464	tilakboek	NA	gordijn	curtain	tirai	281	282	-	FALSE												CURTAIN	2621	https://concepticon.clld.org/parameters/2621
the Mentawai (Pagai & Sipora) list (no date)	465	pareman	NA	slaapplaats	sleeping place	kamar tidur	282	283	-	FALSE												BEDROOM	2505	https://concepticon.clld.org/parameters/2505
the Mentawai (Pagai & Sipora) list (no date)	468	lape	NA	ligmatje	sleeping mat	tikar	296	297	295	FALSE												MATTRESS	105	https://concepticon.clld.org/parameters/105
the Mentawai (Pagai & Sipora) list (no date)	469	patoeloenan	NA	hoofdkussen	pillow	bantal	291	293	296	FALSE												PILLOW	1044	https://concepticon.clld.org/parameters/1044
the Mentawai (Pagai & Sipora) list (no date)	472	lâpara	NA	zolder (onder het dak)	attic (under the roof)	loteng	285	286	298	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	473	salaˈsa	NA	zolderrek boven het vuur, rekje boven de haard	rack above the fireplace	para-para	285	286	299	FALSE												RACK (FOR STORING FOOD)	3176	https://concepticon.clld.org/parameters/3176
the Mentawai (Pagai & Sipora) list (no date)	474	poeroe soeat	NA	kookplaats	hearth, fireplace	dapur, tungku	286	287	300	FALSE												FIREPLACE	185	https://concepticon.clld.org/parameters/185
the Mentawai (Pagai & Sipora) list (no date)	475	api	NA	vuur	fire	api	287	288	301	TRUE												FIRE	221	https://concepticon.clld.org/parameters/221
the Mentawai (Pagai & Sipora) list (no date)	476	malabo	NA	brand	fire	api, kebakaran	288	289	-	TRUE												FIRE	221	https://concepticon.clld.org/parameters/221
the Mentawai (Pagai & Sipora) list (no date)	477	masiro͡esoei	NA	vuur aanleggen	to make a fire	memasang api	287	288	302	FALSE												LIGHT (IGNITE)	737	https://concepticon.clld.org/parameters/737
the Mentawai (Pagai & Sipora) list (no date)	478	masipeˈaka	NA	vuur blussen	to extinguish (with water)	memadamkan api (dengan air)	287	288	-	FALSE												EXTINGUISH	127	https://concepticon.clld.org/parameters/127
the Mentawai (Pagai & Sipora) list (no date)	482	koedjoek	NA	rook	smoke	asap	-	290	306	TRUE												SMOKE (EXHAUST)	778	https://concepticon.clld.org/parameters/778
the Mentawai (Pagai & Sipora) list (no date)	483	aboe	NA	as	ashes	abu	289	291	307	TRUE												ASH	646	https://concepticon.clld.org/parameters/646
the Mentawai (Pagai & Sipora) list (no date)	484	loina	NA	brandhout	fire wood	kayu api	290	292	308	FALSE												FIREWOOD	10	https://concepticon.clld.org/parameters/10
